Team,Year,Week,Rating,Prev_Rating,Opponent,Score
ARI,1984,1,-4.176341278,-4.181598741,GBP,-1.842057484
ARI,1984,2,-3.59277033,-3.59813007,BUF,10.87506266
ARI,1984,3,-0.699203732,-0.704116144,IND,-3.928297192
ARI,1984,4,-1.237385975,-1.241937274,NOS,-6.132534949
ARI,1984,5,-1.936692971,-1.941381618,MIA,-1.270681554
ARI,1984,6,-1.853441544,-1.857853866,DAL,8.25874362
ARI,1984,7,-0.729865415,-0.734372354,CHI,5.771874774
ARI,1984,8,-0.079691396,-0.08422304,WAS,3.567590274
ARI,1984,9,0.251879665,0.24736458,PHI,10.58664225
ARI,1984,10,1.113109881,1.108574388,LAR,-1.654487506
ARI,1984,11,0.900217774,0.895690453,DAL,-2.651966813
ARI,1984,12,0.646490304,0.641941236,NYG,-1.463291422
ARI,1984,13,0.505838189,0.501258591,PHI,-1.152063067
ARI,1984,14,0.40221936,0.397640491,NEP,13.8897433
ARI,1984,15,1.195603121,1.191188573,NYG,3.511825926
ARI,1984,16,1.324282166,1.319843876,WAS,4.735126635
ARI,1984,17,1.503800296,1.499379372,,
ARI,1984,18,1.503800296,1.499379372,,
ARI,1984,19,1.503800296,1.499379372,,
ARI,1984,20,1.503800296,1.499379372,,
ARI,1984,21,1.503800296,1.499379372,,
ARI,1984,22,1.503800296,1.499379372,,
ARI,1985,1,1.503800296,1.499379372,BAL,0.325521529
ARI,1985,2,1.209230604,1.205375235,CIN,6.017186625
ARI,1985,3,2.170821808,2.167325857,NYG,-2.243543207
ARI,1985,4,1.435094306,1.431502377,GBP,7.382842975
ARI,1985,5,2.284772687,2.281227563,WAS,-6.207096832
ARI,1985,6,1.223288997,1.219786547,PHI,-10.19933466
ARI,1985,7,-0.045891409,-0.049390688,PIT,-2.622487056
ARI,1985,8,-0.303550974,-0.306810024,TEN,-10.06373323
ARI,1985,9,-1.19084027,-1.193934436,DAL,6.637894353
ARI,1985,10,-0.538445718,-0.541515681,TBB,-11.21103056
ARI,1985,11,-1.359413783,-1.362465772,PHI,-7.27101698
ARI,1985,12,-1.781671154,-1.78470481,NYG,-16.62374741
ARI,1985,13,-2.771142905,-2.774163589,DAL,-6.883821246
ARI,1985,14,-3.028185301,-3.0311731,NOS,0.447002995
ARI,1985,15,-2.82376246,-2.826712041,LAR,-15.22910451
ARI,1985,16,-3.512948129,-3.515859638,WAS,-7.655707718
ARI,1985,17,-3.730988108,-3.733864848,,
ARI,1985,18,-3.730988108,-3.733864848,,
ARI,1985,19,-3.730988108,-3.733864848,,
ARI,1985,20,-3.730988108,-3.733864848,,
ARI,1985,21,-3.730988108,-3.733864848,,
ARI,1985,22,-3.730988108,-3.733864848,,
ARI,1986,1,-3.730988108,-3.733864848,LAR,-4.824993498
ARI,1986,2,-4.004489455,-4.007150687,ATL,-13.60401262
ARI,1986,3,-5.924394087,-5.92695968,BUF,-8.860689281
ARI,1986,4,-6.413776619,-6.415957449,DAL,-13.93062863
ARI,1986,5,-7.487612622,-7.489726514,NYG,-5.702980599
ARI,1986,6,-7.264533619,-7.266550103,TBB,-1.43170699
ARI,1986,7,-6.616441771,-6.618380356,WAS,-3.371861927
ARI,1986,8,-6.291983787,-6.29382126,DAL,-14.77228318
ARI,1986,9,-7.062920095,-7.06468006,PHI,-4.493482397
ARI,1986,10,-6.848800287,-6.850490027,SFF,-11.12949032
ARI,1986,11,-7.178084136,-7.179690716,NOS,-10.63585903
ARI,1986,12,-7.425068057,-7.42660008,KCC,0.171077648
ARI,1986,13,-6.918658343,-6.920066306,WAS,-4.851030929
ARI,1986,14,-6.78943163,-6.790771656,PHI,-3.292216278
ARI,1986,15,-6.58371308,-6.584995548,NYG,-9.257033306
ARI,1986,16,-6.73223087,-6.733454543,TBB,-8.544774466
ARI,1986,17,-6.827627901,-6.828794077,,
ARI,1986,18,-6.827627901,-6.828794077,,
ARI,1986,19,-6.827627901,-6.828794077,,
ARI,1986,20,-6.827627901,-6.828794077,,
ARI,1986,21,-6.827627901,-6.828794077,,
ARI,1986,22,-6.827627901,-6.828794077,,
ARI,1987,1,-6.827627901,-6.828794077,DAL,2.240945595
ARI,1987,2,-4.560484527,-4.56136139,SDC,-3.94336544
ARI,1987,3,-4.43706071,-4.437642298,WAS,-2.189466152
ARI,1987,4,-4.062461617,-4.062864722,NOS,-2.239149246
ARI,1987,5,-3.801988421,-3.802240435,SFF,-0.483048627
ARI,1987,6,-3.387120947,-3.387222361,NYG,-11.05824424
ARI,1987,7,-4.239467979,-4.239437612,PHI,-7.5871344
ARI,1987,8,-4.574234621,-4.574090738,TBB,-4.343613674
ARI,1987,9,-4.55326908,-4.553008302,LAR,-6.364817126
ARI,1987,10,-4.704231417,-4.703862499,PHI,4.010727672
ARI,1987,11,-4.033849949,-4.033385814,ATL,1.008050561
